Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachAVLTreeSet          100    ss    2      2790,050          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachAVLTreeSet         1000    ss    2     11492,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachAVLTreeSet        10000    ss    2     70189,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArrayList           100    ss    2      3036,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArrayList          1000    ss    2      6545,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArrayList         10000    ss    2     30875,800          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArraySet            100    ss    2      2955,000          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArraySet           1000    ss    2     10067,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachArraySet          10000    ss    2     38423,650          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachLinkedSet           100    ss    2      1199,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachLinkedSet          1000    ss    2      5724,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachLinkedSet         10000    ss    2     32303,000          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachRBTreeSet           100    ss    2      3630,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachRBTreeSet          1000    ss    2     10520,600          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachRBTreeSet         10000    ss    2     68279,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachSet                 100    ss    2      1961,450          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachSet                1000    ss    2      8469,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForEachSet               10000    ss    2     90339,050          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForLinkedSet               100    ss    2      2043,150          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForLinkedSet              1000    ss    2      9773,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForLinkedSet             10000    ss    2     35893,050          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForRBTreeSet               100    ss    2      2276,200          us/op
